## Cluster data 
Fraction	Trial	Configuration #	#DDT	DDT Fraction	#PEG	PEG Fraction	Total Fraction of Surface Covered
0.10	5	8	[111]	[0.768]	[1, 1, 1, 2, 2, 5]	[0.008, 0.006, 0.006, 0.017, 0.014, 0.039]	0.8564
0.10	5	9	[111]	[0.760]	[1, 1, 2, 5, 2, 1]	[0.006, 0.006, 0.011, 0.039, 0.017, 0.008]	0.8453
0.10	5	10	[111]	[0.768]	[5, 1, 1, 2, 2, 1]	[0.039, 0.006, 0.006, 0.017, 0.011, 0.008]	0.8536
0.10	6	1	[111]	[0.762]	[1, 1, 2, 1, 2, 1, 1, 1, 2]	[0.006, 0.008, 0.008, 0.006, 0.014, 0.006, 0.008, 0.008, 0.011]	0.8370
0.10	6	2	[111]	[0.762]	[1, 1, 1, 2, 2, 1, 2, 1, 1]	[0.008, 0.008, 0.006, 0.014, 0.014, 0.006, 0.014, 0.008, 0.008]	0.8481
0.10	6	3	[111]	[0.771]	[1, 3, 2, 1, 2, 1, 1, 1]	[0.008, 0.017, 0.014, 0.008, 0.014, 0.006, 0.008, 0.006]	0.8508
0.10	6	4	[111]	[0.771]	[1, 1, 1, 1, 4, 1, 1, 2]	[0.008, 0.008, 0.006, 0.008, 0.030, 0.006, 0.008, 0.011]	0.8564
0.10	6	5	[111]	[0.765]	[1, 1, 1, 1, 4, 1, 1, 1, 1]	[0.008, 0.008, 0.008, 0.008, 0.033, 0.006, 0.006, 0.006, 0.006]	0.8536
0.10	6	6	[111]	[0.765]	[1, 1, 1, 2, 1, 4, 1, 1]	[0.008, 0.006, 0.006, 0.014, 0.006, 0.030, 0.006, 0.008]	0.8481
0.10	6	7	[111]	[0.757]	[1, 1, 1, 1, 4, 1, 2, 1]	[0.006, 0.008, 0.006, 0.006, 0.030, 0.008, 0.014, 0.006]	0.8398
0.10	6	8	[111]	[0.771]	[2, 1, 1, 1, 1, 1, 4, 1]	[0.014, 0.006, 0.006, 0.006, 0.008, 0.006, 0.028, 0.008]	0.8508
0.10	6	9	[111]	[0.765]	[1, 4, 1, 1, 2, 1, 1, 1]	[0.008, 0.030, 0.006, 0.006, 0.014, 0.008, 0.006, 0.006]	0.8481
0.10	6	10	[111]	[0.768]	[1, 1, 2, 1, 4, 1, 1, 1]	[0.006, 0.008, 0.014, 0.008, 0.030, 0.006, 0.006, 0.006]	0.8508
0.20	1	1	[102]	[0.707]	[1, 8, 1, 7, 4, 4]	[0.008, 0.052, 0.008, 0.047, 0.025, 0.025]	0.8729
0.20	1	2	[102]	[0.713]	[1, 4, 4, 1, 15]	[0.006, 0.028, 0.025, 0.006, 0.099]	0.8757
0.20	1	3	[102]	[0.710]	[3, 4, 10, 8]	[0.019, 0.022, 0.072, 0.052]	0.8757
